model_name,prompt_type,temperature,token_length,Count,Sample Count Proportion,Rounded
GPT3.5,raw,0,128,31,0.8422546634,1
GPT3.5,raw,0.2,128,132,3.586374696,4
GPT3.5,raw,0.4,128,66,1.793187348,2
GPT3.5,raw,0.6,128,290,7.879156529,8
GPT3.5,raw,0.8,128,295,8.015004055,8
GPT3.5,raw,1,128,369,10.02554745,10
GPT3.5,refined,0,128,24,0.5727341965,1
GPT3.5,refined,0.2,128,111,2.648895659,3
GPT3.5,refined,0.4,128,171,4.08073115,4
GPT3.5,refined,0.6,128,212,5.059152069,5
GPT3.5,refined,0.8,128,272,6.49098756,6
GPT3.5,refined,1,128,304,7.254633156,7
Phi,raw,0,128,30,0.8150851582,1
Phi,raw,0.2,128,230,6.248986212,6
Phi,raw,0.4,128,408,11.08515815,11
Phi,raw,0.6,128,578,15.70397405,16
Phi,raw,0.8,128,721,19.5892133,20
Phi,raw,1,128,924,25.10462287,25
Phi,refined,0,128,21,0.5011424219,1
Phi,refined,0.2,128,162,3.865955826,4
Phi,refined,0.4,128,320,7.636455953,8
Phi,refined,0.6,128,457,10.90581366,11
Phi,refined,0.8,128,608,14.50926631,15
Phi,refined,1,128,680,16.2274689,16
T5,raw,0,128,277,7.52595296,8
T5,raw,0.2,128,805,21.87145174,22
T5,raw,0.4,128,1296,35.21167883,35
T5,raw,0.6,128,1654,44.93836172,45
T5,raw,0.8,128,2002,54.39334955,54
T5,raw,1,128,2222,60.37064071,60
T5,refined,0,128,367,8.758060421,9
T5,refined,0.2,128,1257,29.99695354,30
T5,refined,0.4,128,2085,49.75628332,50
T5,refined,0.6,128,2623,62.59507489,63
T5,refined,0.8,128,2936,70.06448337,70
T5,refined,1,128,3146,75.07590759,75