model_name,prompt_type,temperature,sub_redos_pattern,count
GPT3.5,raw,0.0,EOA_i1,1
GPT3.5,raw,0.0,EOA_ii1,1
GPT3.5,raw,0.0,NQ,2
GPT3.5,raw,0.0,POA,16
GPT3.5,raw,0.0,SLQ2,9
GPT3.5,raw,0.0,SLQ_1,2
GPT3.5,raw,0.2,EOA_i1,11
GPT3.5,raw,0.2,EOA_i3,1
GPT3.5,raw,0.2,EOA_ii1,7
GPT3.5,raw,0.2,EOD_i,1
GPT3.5,raw,0.2,NQ,9
GPT3.5,raw,0.2,POA,68
GPT3.5,raw,0.2,SLQ2,30
GPT3.5,raw,0.2,SLQ_1,4
GPT3.5,raw,0.2,SLQ_2,1
GPT3.5,raw,0.4,EOA_i1,2
GPT3.5,raw,0.4,EOA_ii1,2
GPT3.5,raw,0.4,EOD_i,1
GPT3.5,raw,0.4,NQ,4
GPT3.5,raw,0.4,POA,42
GPT3.5,raw,0.4,SLQ2,11
GPT3.5,raw,0.4,SLQ_2,4
GPT3.5,raw,0.6,EOA_i1,19
GPT3.5,raw,0.6,EOA_i3,3
GPT3.5,raw,0.6,EOA_ii1,8
GPT3.5,raw,0.6,EOA_ii3,1
GPT3.5,raw,0.6,EOD_i,4
GPT3.5,raw,0.6,NQ,29
GPT3.5,raw,0.6,POA,156
GPT3.5,raw,0.6,SLQ2,57
GPT3.5,raw,0.6,SLQ_1,5
GPT3.5,raw,0.6,SLQ_2,7
GPT3.5,raw,0.6,SLQ_3,1
GPT3.5,raw,0.8,EOA_i1,12
GPT3.5,raw,0.8,EOA_i3,4
GPT3.5,raw,0.8,EOA_ii1,9
GPT3.5,raw,0.8,EOA_ii3,1
GPT3.5,raw,0.8,EOD_i,4
GPT3.5,raw,0.8,NQ,20
GPT3.5,raw,0.8,POA,139
GPT3.5,raw,0.8,SLQ2,92
GPT3.5,raw,0.8,SLQ_1,1
GPT3.5,raw,0.8,SLQ_2,13
GPT3.5,raw,1.0,EOA_i1,14
GPT3.5,raw,1.0,EOA_i3,4
GPT3.5,raw,1.0,EOA_ii1,9
GPT3.5,raw,1.0,EOD_i,7
GPT3.5,raw,1.0,EOD_ii1,1
GPT3.5,raw,1.0,NQ,31
GPT3.5,raw,1.0,POA,212
GPT3.5,raw,1.0,SLQ2,81
GPT3.5,raw,1.0,SLQ_1,4
GPT3.5,raw,1.0,SLQ_2,6
GPT3.5,refined,0.0,EOA_i1,1
GPT3.5,refined,0.0,NQ,1
GPT3.5,refined,0.0,POA,7
GPT3.5,refined,0.0,SLQ2,13
GPT3.5,refined,0.0,SLQ_1,1
GPT3.5,refined,0.0,SLQ_2,1
GPT3.5,refined,0.2,EOA_i1,5
GPT3.5,refined,0.2,EOA_i3,4
GPT3.5,refined,0.2,EOA_ii1,3
GPT3.5,refined,0.2,NQ,7
GPT3.5,refined,0.2,POA,46
GPT3.5,refined,0.2,SLQ2,42
GPT3.5,refined,0.2,SLQ_1,1
GPT3.5,refined,0.2,SLQ_2,3
GPT3.5,refined,0.4,EOA_i1,7
GPT3.5,refined,0.4,EOA_i3,5
GPT3.5,refined,0.4,EOA_ii1,4
GPT3.5,refined,0.4,EOD_i,3
GPT3.5,refined,0.4,NQ,10
GPT3.5,refined,0.4,POA,80
GPT3.5,refined,0.4,SLQ2,55
GPT3.5,refined,0.4,SLQ_1,1
GPT3.5,refined,0.4,SLQ_2,6
GPT3.5,refined,0.6,EOA_i1,12
GPT3.5,refined,0.6,EOA_i3,5
GPT3.5,refined,0.6,EOA_ii1,5
GPT3.5,refined,0.6,NQ,17
GPT3.5,refined,0.6,POA,107
GPT3.5,refined,0.6,SLQ2,56
GPT3.5,refined,0.6,SLQ_1,2
GPT3.5,refined,0.6,SLQ_2,7
GPT3.5,refined,0.6,SLQ_3,1
GPT3.5,refined,0.8,EOA_i1,11
GPT3.5,refined,0.8,EOA_i3,9
GPT3.5,refined,0.8,EOA_ii1,8
GPT3.5,refined,0.8,EOD_i,3
GPT3.5,refined,0.8,NQ,18
GPT3.5,refined,0.8,POA,144
GPT3.5,refined,0.8,SLQ2,69
GPT3.5,refined,0.8,SLQ_1,3
GPT3.5,refined,0.8,SLQ_2,7
GPT3.5,refined,1.0,EOA_i1,12
GPT3.5,refined,1.0,EOA_i3,5
GPT3.5,refined,1.0,EOA_ii1,4
GPT3.5,refined,1.0,EOD_i,6
GPT3.5,refined,1.0,EOD_ii1,1
GPT3.5,refined,1.0,NQ,25
GPT3.5,refined,1.0,POA,154
GPT3.5,refined,1.0,SLQ2,81
GPT3.5,refined,1.0,SLQ_1,7
GPT3.5,refined,1.0,SLQ_2,9
Phi,raw,0.0,EOD_i,1
Phi,raw,0.0,POA,6
Phi,raw,0.0,SLQ2,20
Phi,raw,0.0,SLQ_1,1
Phi,raw,0.0,SLQ_2,2
Phi,raw,0.2,EOA_i3,3
Phi,raw,0.2,EOD_i,4
Phi,raw,0.2,POA,122
Phi,raw,0.2,SLQ2,93
Phi,raw,0.2,SLQ_1,3
Phi,raw,0.2,SLQ_2,5
Phi,raw,0.4,EOA_i1,6
Phi,raw,0.4,EOA_i3,7
Phi,raw,0.4,EOA_ii1,4
Phi,raw,0.4,EOD_i,5
Phi,raw,0.4,EOD_ii2,1
Phi,raw,0.4,NQ,6
Phi,raw,0.4,POA,206
Phi,raw,0.4,SLQ2,156
Phi,raw,0.4,SLQ_1,10
Phi,raw,0.4,SLQ_2,7
Phi,raw,0.6,EOA_i1,7
Phi,raw,0.6,EOA_i3,3
Phi,raw,0.6,EOA_ii1,4
Phi,raw,0.6,EOD_i,8
Phi,raw,0.6,EOD_ii2,2
Phi,raw,0.6,NQ,18
Phi,raw,0.6,POA,278
Phi,raw,0.6,SLQ2,232
Phi,raw,0.6,SLQ_1,9
Phi,raw,0.6,SLQ_2,17
Phi,raw,0.8,EOA_i1,12
Phi,raw,0.8,EOA_i3,10
Phi,raw,0.8,EOA_ii1,2
Phi,raw,0.8,EOD_i,16
Phi,raw,0.8,EOD_ii1,1
Phi,raw,0.8,NQ,27
Phi,raw,0.8,POA,346
Phi,raw,0.8,SLQ2,280
Phi,raw,0.8,SLQ_1,15
Phi,raw,0.8,SLQ_2,12
Phi,raw,1.0,EOA_i1,22
Phi,raw,1.0,EOA_i3,14
Phi,raw,1.0,EOA_ii1,13
Phi,raw,1.0,EOA_ii3,2
Phi,raw,1.0,EOD_i,17
Phi,raw,1.0,EOD_ii1,3
Phi,raw,1.0,NQ,27
Phi,raw,1.0,POA,441
Phi,raw,1.0,SLQ2,342
Phi,raw,1.0,SLQ_1,21
Phi,raw,1.0,SLQ_2,22
Phi,refined,0.0,POA,13
Phi,refined,0.0,SLQ2,8
Phi,refined,0.2,EOA_i1,1
Phi,refined,0.2,EOA_i3,3
Phi,refined,0.2,POA,70
Phi,refined,0.2,SLQ2,87
Phi,refined,0.2,SLQ_1,1
Phi,refined,0.4,EOA_i1,2
Phi,refined,0.4,EOA_i3,1
Phi,refined,0.4,EOA_ii1,1
Phi,refined,0.4,NQ,1
Phi,refined,0.4,POA,145
Phi,refined,0.4,SLQ2,161
Phi,refined,0.4,SLQ_1,6
Phi,refined,0.4,SLQ_2,3
Phi,refined,0.6,EOA_i1,3
Phi,refined,0.6,EOA_i3,4
Phi,refined,0.6,EOA_ii1,1
Phi,refined,0.6,EOD_i,1
Phi,refined,0.6,EOD_ii1,1
Phi,refined,0.6,NQ,2
Phi,refined,0.6,POA,194
Phi,refined,0.6,SLQ2,234
Phi,refined,0.6,SLQ_1,12
Phi,refined,0.6,SLQ_2,5
Phi,refined,0.8,EOA_i1,4
Phi,refined,0.8,EOA_i3,4
Phi,refined,0.8,EOA_ii3,1
Phi,refined,0.8,EOD_i,8
Phi,refined,0.8,EOD_ii1,2
Phi,refined,0.8,NQ,10
Phi,refined,0.8,POA,267
Phi,refined,0.8,SLQ2,278
Phi,refined,0.8,SLQ_1,22
Phi,refined,0.8,SLQ_2,12
Phi,refined,1.0,EOA_i1,11
Phi,refined,1.0,EOA_i2,1
Phi,refined,1.0,EOA_i3,6
Phi,refined,1.0,EOA_ii1,4
Phi,refined,1.0,EOD_i,7
Phi,refined,1.0,EOD_ii1,1
Phi,refined,1.0,NQ,16
Phi,refined,1.0,POA,274
Phi,refined,1.0,SLQ2,321
Phi,refined,1.0,SLQ_1,23
Phi,refined,1.0,SLQ_2,16
T5,raw,0.0,POA,270
T5,raw,0.0,SLQ2,7
T5,raw,0.2,EOA_i1,1
T5,raw,0.2,POA,766
T5,raw,0.2,SLQ2,38
T5,raw,0.4,EOA_i1,2
T5,raw,0.4,NQ,1
T5,raw,0.4,POA,1235
T5,raw,0.4,SLQ2,58
T5,raw,0.6,EOA_i1,2
T5,raw,0.6,EOD_i,2
T5,raw,0.6,POA,1567
T5,raw,0.6,SLQ2,83
T5,raw,0.8,EOA_i1,13
T5,raw,0.8,EOA_ii1,1
T5,raw,0.8,EOD_i,2
T5,raw,0.8,NQ,2
T5,raw,0.8,POA,1917
T5,raw,0.8,SLQ2,67
T5,raw,1.0,EOA_i1,13
T5,raw,1.0,EOD_i,5
T5,raw,1.0,EOD_ii1,1
T5,raw,1.0,NQ,2
T5,raw,1.0,POA,2100
T5,raw,1.0,SLQ2,101
T5,refined,0.0,POA,367
T5,refined,0.2,EOA_i1,2
T5,refined,0.2,EOA_ii1,2
T5,refined,0.2,POA,1249
T5,refined,0.2,SLQ2,4
T5,refined,0.4,EOA_i1,2
T5,refined,0.4,POA,2079
T5,refined,0.4,SLQ2,4
T5,refined,0.6,EOA_i1,4
T5,refined,0.6,EOA_ii1,1
T5,refined,0.6,NQ,1
T5,refined,0.6,POA,2611
T5,refined,0.6,SLQ2,6
T5,refined,0.8,EOA_i1,7
T5,refined,0.8,EOA_ii1,1
T5,refined,0.8,EOD_i,2
T5,refined,0.8,NQ,4
T5,refined,0.8,POA,2915
T5,refined,0.8,SLQ2,7
T5,refined,1.0,EOA_i1,14
T5,refined,1.0,EOD_i,3
T5,refined,1.0,EOD_ii1,1
T5,refined,1.0,NQ,1
T5,refined,1.0,POA,3112
T5,refined,1.0,SLQ2,15
